sID,MXene,SWNT,AuNP,PVA,conductance,LRR,class
bDS-E101,0,0,0,1,0,0,B
bDS-E102,0.1,0,0,0.9,0.000186916,0.26815656,B
bDS-E103,0.2,0,0,0.8,0.000316456,0.285627841,B
bDS-E104,0.3,0,0,0.7,0.000592066,0.309578989,B
bDS-E105,0.4,0,0,0.6,0.001015228,0.333575389,B
bDS-E106,0.5,0,0,0.5,0.001385042,0.349099714,B
bDS-E107,0.6,0,0,0.4,0.00304878,0.395426231,B
bDS-E108,0.7,0,0,0.3,0.004065041,0.415241012,B
bDS-E109,0.8,0,0,0.2,0.006289308,0.448855859,B
bDS-E10A,0.9,0,0,0.1,0.008064516,0.470122582,A
bDS-E10B,1,0,0,0,0.04,0.647639852,A
bDS-E10C,0,0.1,0,0.9,0,0,B
bDS-E10D,0.1,0.1,0,0.8,9.04977E-05,0.247294895,B
bDS-E10E,0.2,0.1,0,0.7,0.000178571,0.266740439,B
bDS-E10F,0.3,0.1,0,0.6,0.000326797,0.286768087,B
bDS-E110,0.4,0.1,0,0.5,0.000433839,0.297216479,B
bDS-E111,0.5,0.1,0,0.4,0.000646412,0.313254884,B
bDS-E112,0.6,0.1,0,0.3,0.001152074,0.339732245,B
bDS-E113,0.7,0.1,0,0.2,0.004545455,0.423418814,B
bDS-E114,0.8,0.1,0,0.1,0.005405405,0.436674623,B
bDS-E115,0.9,0.1,0,0,0.015151515,0.531684801,A
bDS-E116,0,0.2,0,0.8,6.66667E-05,0.239441774,B
bDS-E117,0.1,0.2,0,0.7,0.00025974,0.278816578,B
bDS-E118,0.2,0.2,0,0.6,0.000529101,0.304993946,B
bDS-E119,0.3,0.2,0,0.5,0.000564972,0.307652549,B
bDS-E11A,0.4,0.2,0,0.4,0.002597403,0.385119433,B
bDS-E11B,0.5,0.2,0,0.3,0.003289474,0.40049186,B
bDS-E11C,0.6,0.2,0,0.2,0.003787879,0.410214242,B
bDS-E11D,0.7,0.2,0,0.1,0.006578947,0.452588008,B
bDS-E11E,0.8,0.2,0,0,0.018181818,0.551598341,A
bDS-E11F,0,0.3,0,0.7,0.000236407,0.275682145,B
bDS-E120,0.1,0.3,0,0.6,0.000320513,0.286078477,B
bDS-E121,0.2,0.3,0,0.5,0.000526316,0.304782027,B
bDS-E122,0.3,0.3,0,0.4,0.002,0.369334841,B
bDS-E123,0.4,0.3,0,0.3,0.004048583,0.414949274,B
bDS-E124,0.5,0.3,0,0.2,0.004587156,0.424099928,B
bDS-E125,0.6,0.3,0,0.1,0.005952381,0.444361497,B
bDS-E126,0.7,0.3,0,0.0,0.017857143,0.549588268,A
bDS-E127,0,0.4,0,0.6,7.04225E-05,0.240813328,B
bDS-E128,0.1,0.4,0,0.5,0.000606061,0.310548582,B
bDS-E129,0.2,0.4,0,0.4,0.000829876,0.324193636,B
bDS-E12A,0.3,0.4,0,0.3,0.003236246,0.399394409,B
bDS-E12B,0.4,0.4,0,0.2,0.005050505,0.431394598,B
bDS-E12C,0.5,0.4,0,0.1,0.008547009,0.475329514,A
bDS-E12D,0.6,0.4,0,0,0.023255814,0.579953601,A
bDS-E12E,0,0.5,0,0.5,0.00016129,0.263637187,B
bDS-E12F,0.1,0.5,0,0.4,0.001801802,0.363365696,B
bDS-E130,0.2,0.5,0,0.3,0.002941176,0.393071248,B
bDS-E131,0.3,0.5,0,0.2,0.004587156,0.424099928,B
bDS-E132,0.4,0.5,0,0.1,0.01,0.489861655,A
bDS-E133,0.5,0.5,0,0,0.027777778,0.601410489,A
bDS-E134,0,0.6,0,0.4,0.000829187,0.324156088,B
bDS-E135,0.1,0.6,0,0.3,0.002487562,0.382424209,B
bDS-E136,0.2,0.6,0,0.2,0.003731343,0.409157803,B
bDS-E137,0.3,0.6,0,0.1,0.00729927,0.461399899,A
bDS-E138,0.4,0.6,0,0,0.026315789,0.594798639,A
bDS-E139,0,0.7,0,0.3,0.000782473,0.321552108,B
bDS-E13A,0.1,0.7,0,0.2,0.002531646,0.383515724,B
bDS-E13B,0.2,0.7,0,0.1,0.006993007,0.457730545,A
bDS-E13C,0.3,0.7,0,0,0.021276596,0.56951667,A
bDS-E13D,0,0.8,0,0.2,0.000833333,0.324381973,B
bDS-E13E,0.1,0.8,0,0.1,0.006451613,0.450961552,B
bDS-E13F,0.2,0.8,0,0,0.03125,0.616048321,A
bDS-E140,0,0.9,0,0.1,0.005464481,0.437530048,B
bDS-E141,0.1,0.9,0,0,0.035714286,0.63299809,A
bDS-E142,0,1,0,0,0.055555556,0.691009536,A
bDS-E143,0,0,0.1,0.9,0,0,B
bDS-E144,0.1,0,0.1,0.8,0.000198255,0.270004991,B
bDS-E145,0.2,0,0.1,0.7,0.000336361,0.287798502,B
bDS-E146,0.3,0,0.1,0.6,0.00071736,0.317725885,B
bDS-E147,0.4,0,0.1,0.5,0.001295337,0.345637241,B
bDS-E148,0.5,0,0.1,0.4,0.001901141,0.366412466,B
bDS-E149,0.6,0,0.1,0.3,0.003246753,0.399612037,B
bDS-E14A,0.7,0,0.1,0.2,0.005434783,0.437100815,B
bDS-E14B,0.8,0,0.1,0.1,0.02,0.562381856,A
bDS-E14C,0.9,0,0.1,0,0.028571429,0.604882912,A
bDS-E14D,0,0.1,0.1,0.8,0.000109589,0.252480077,B
bDS-E14E,0.1,0.1,0.1,0.7,0.000158228,0.263060721,B
bDS-E14F,0.2,0.1,0.1,0.6,0.000387597,0.292971631,B
bDS-E150,0.3,0.1,0.1,0.5,0.000472813,0.300538661,B
bDS-E151,0.4,0.1,0.1,0.4,0.000689655,0.316020383,B
bDS-E152,0.5,0.1,0.1,0.3,0.003225806,0.399177697,B
bDS-E153,0.6,0.1,0.1,0.2,0.004347826,0.420130778,B
bDS-E154,0.7,0.1,0.1,0.1,0.00617284,0.447321528,B
bDS-E155,0.8,0.1,0.1,0,0.021276596,0.56951667,A
bDS-E156,0,0.2,0.1,0.7,0.000174307,0.265996979,B
bDS-E157,0.1,0.2,0.1,0.6,0.000246914,0.277121459,B
bDS-E158,0.2,0.2,0.1,0.5,0.000338868,0.288065027,B
bDS-E159,0.3,0.2,0.1,0.4,0.000605327,0.310498158,B
bDS-E15A,0.4,0.2,0.1,0.3,0.001096491,0.337298739,B
bDS-E15B,0.5,0.2,0.1,0.2,0.003496503,0.404646686,B
bDS-E15C,0.6,0.2,0.1,0.1,0.005847953,0.442932848,B
bDS-E15D,0.7,0.2,0.1,0,0.029411765,0.608475081,A
bDS-E15E,0,0.3,0.1,0.6,0.000961538,0.330995479,B
bDS-E15F,0.1,0.3,0.1,0.5,0.001116071,0.338165928,B
bDS-E160,0.2,0.3,0.1,0.4,0.00147929,0.352569015,B
bDS-E161,0.3,0.3,0.1,0.3,0.003773585,0.409948181,B
bDS-E162,0.4,0.3,0.1,0.2,0.004761905,0.426908435,B
bDS-E163,0.5,0.3,0.1,0.1,0.007692308,0.465955425,A
bDS-E164,0.6,0.3,0.1,0,0.022222222,0.574592874,A
bDS-E165,0,0.4,0.1,0.5,0.00075358,0.319884186,B
bDS-E166,0.1,0.4,0.1,0.4,0.002518892,0.383201311,B
bDS-E167,0.2,0.4,0.1,0.3,0.004739336,0.426549776,B
bDS-E168,0.3,0.4,0.1,0.2,0.005050505,0.431394598,B
bDS-E169,0.4,0.4,0.1,0.1,0.008333333,0.473049573,A
bDS-E16A,0.5,0.4,0.1,0,0.033333333,0.624196351,A
bDS-E16B,0,0.5,0.1,0.4,0.001949318,0.367849689,B
bDS-E16C,0.1,0.5,0.1,0.3,0.004385965,0.420773246,B
bDS-E16D,0.2,0.5,0.1,0.2,0.006097561,0.446319134,B
bDS-E16E,0.3,0.5,0.1,0.1,0.007692308,0.465955425,A
bDS-E16F,0.4,0.5,0.1,0,0.020833333,0.567077308,A
bDS-E170,0,0.6,0.1,0.3,0.003311258,0.400937457,B
bDS-E171,0.1,0.6,0.1,0.2,0.004237288,0.4182464,B
bDS-E172,0.2,0.6,0.1,0.1,0.007092199,0.458930968,A
bDS-E173,0.3,0.6,0.1,0,0.018518519,0.553654682,A
bDS-E174,0,0.7,0.1,0.2,0.002762431,0.389022873,B
bDS-E175,0.1,0.7,0.1,0.1,0.006756757,0.454823085,A
bDS-E176,0.2,0.7,0.1,0,0.016666667,0.54197662,A
bDS-E177,0,0.8,0.1,0.1,0.004132231,0.416423659,B
bDS-E178,0.1,0.8,0.1,0,0.016129032,0.53840656,A
bDS-E179,0,0.9,0.1,0,0.015151515,0.531684801,A
bDS-E17A,0,0,0.2,0.8,0,0,B
bDS-E17B,0.1,0,0.2,0.7,0.000432526,0.297100694,B
bDS-E17C,0.2,0,0.2,0.6,0.000713267,0.317476978,B
bDS-E17D,0.3,0,0.2,0.5,0.0025,0.382733534,B
bDS-E17E,0.4,0,0.2,0.4,0.004132231,0.416423659,B
bDS-E17F,0.5,0,0.2,0.3,0.006622517,0.453139512,B
bDS-E180,0.6,0,0.2,0.2,0.01010101,0.490815252,A
bDS-E181,0.7,0,0.2,0.1,0.012658228,0.512980982,A
bDS-E182,0.8,0,0.2,0,0.025,0.58859191,A
bDS-E183,0,0.1,0.2,0.7,0.00015873,0.263155862,B
bDS-E184,0.1,0.1,0.2,0.6,0.000230681,0.274877078,B
bDS-E185,0.2,0.1,0.2,0.5,0.000367647,0.291022313,B
bDS-E186,0.3,0.1,0.2,0.4,0.000578035,0.308589663,B
bDS-E187,0.4,0.1,0.2,0.3,0.001432665,0.350873099,B
bDS-E188,0.5,0.1,0.2,0.2,0.00304878,0.395426231,B
bDS-E189,0.6,0.1,0.2,0.1,0.004237288,0.4182464,B
bDS-E18A,0.7,0.1,0.2,0,0.010752688,0.496811162,A
bDS-E18B,0,0.2,0.2,0.6,0.000407332,0.294827233,B
bDS-E18C,0.1,0.2,0.2,0.5,0.000881057,0.326925005,B
bDS-E18D,0.2,0.2,0.2,0.4,0.001140251,0.339221815,B
bDS-E18E,0.3,0.2,0.2,0.3,0.00295858,0.393456156,B
bDS-E18F,0.4,0.2,0.2,0.2,0.004347826,0.420130778,B
bDS-E190,0.5,0.2,0.2,0.1,0.00456621,0.423758354,B
bDS-E191,0.6,0.2,0.2,0,0.033333333,0.624196351,A
bDS-E192,0,0.3,0.2,0.5,0.000520833,0.304362367,B
bDS-E193,0.1,0.3,0.2,0.4,0.001277139,0.34491403,B
bDS-E194,0.2,0.3,0.2,0.3,0.003558719,0.405861782,B
bDS-E195,0.3,0.3,0.2,0.2,0.004347826,0.420130778,B
bDS-E196,0.4,0.3,0.2,0.1,0.006578947,0.452588008,B
bDS-E197,0.5,0.3,0.2,0,0.010752688,0.496811162,A
bDS-E198,0,0.4,0.2,0.4,0.001157407,0.339961283,B
bDS-E199,0.1,0.4,0.2,0.3,0.002994012,0.394234954,B
bDS-E19A,0.2,0.4,0.2,0.2,0.004761905,0.426908435,B
bDS-E19B,0.3,0.4,0.2,0.1,0.005494505,0.437962362,B
bDS-E19C,0.4,0.4,0.2,0,0.016393443,0.540173121,A
bDS-E19D,0,0.5,0.2,0.3,0.002352941,0.379004765,B
bDS-E19E,0.1,0.5,0.2,0.2,0.003225806,0.399177697,B
bDS-E19F,0.2,0.5,0.2,0.1,0.004716981,0.426193335,B
bDS-E1A0,0.3,0.5,0.2,0,0.011764706,0.505631827,A
bDS-E1A1,0,0.6,0.2,0.2,0.003952569,0.413230697,B
bDS-E1A2,0.1,0.6,0.2,0.1,0.007633588,0.465285272,A
bDS-E1A3,0.2,0.6,0.2,0,0.035714286,0.63299809,A
bDS-E1A4,0,0.7,0.2,0.1,0.007246377,0.460773921,A
bDS-E1A5,0.1,0.7,0.2,0,0.023809524,0.582749447,A
bDS-E1A6,0,0.8,0.2,0,0.022727273,0.577235974,A
bDS-E1A7,0,0,0.3,0.7,0,0,B
bDS-E1A8,0.1,0,0.3,0.6,0.000315457,0.285516291,B
bDS-E1A9,0.2,0,0.3,0.5,0.000728863,0.318419818,B
bDS-E1AA,0.3,0,0.3,0.4,0.001779359,0.362661,B
bDS-E1AB,0.4,0,0.3,0.3,0.004166667,0.417024611,B
bDS-E1AC,0.5,0,0.3,0.2,0.009345794,0.483515538,A
bDS-E1AD,0.6,0,0.3,0.1,0.014084507,0.523975819,A
bDS-E1AE,0.7,0,0.3,0,0.028571429,0.604882912,A
bDS-E1AF,0,0.1,0.3,0.6,0.000253036,0.277938791,B
bDS-E1B0,0.1,0.1,0.3,0.5,0.000555556,0.306967056,B
bDS-E1B1,0.2,0.1,0.3,0.4,0.000815661,0.323413333,B
bDS-E1B2,0.3,0.1,0.3,0.3,0.002083333,0.371720116,B
bDS-E1B3,0.4,0.1,0.3,0.2,0.003802281,0.410481624,B
bDS-E1B4,0.5,0.1,0.3,0.1,0.004587156,0.424099928,B
bDS-E1B5,0.6,0.1,0.3,0,0.014492754,0.526973927,A
bDS-E1B6,0,0.2,0.3,0.5,0.000677048,0.315227608,B
bDS-E1B7,0.1,0.2,0.3,0.4,0.001204819,0.341964601,B
bDS-E1B8,0.2,0.2,0.3,0.3,0.001841621,0.364600881,B
bDS-E1B9,0.3,0.2,0.3,0.2,0.003367003,0.402068502,B
bDS-E1BA,0.4,0.2,0.3,0.1,0.006097561,0.446319134,B
bDS-E1BB,0.5,0.2,0.3,0,0.03125,0.616048321,A
bDS-E1BC,0,0.3,0.3,0.4,0.000650618,0.313529718,B
bDS-E1BD,0.1,0.3,0.3,0.3,0.0016,0.356789416,B
bDS-E1BE,0.2,0.3,0.3,0.2,0.002331002,0.378434599,B
bDS-E1BF,0.3,0.3,0.3,0.1,0.004132231,0.416423659,B
bDS-E1C0,0.4,0.3,0.3,0,0.034482759,0.62850999,A
bDS-E1C1,0,0.4,0.3,0.3,0.002298851,0.377592169,B
bDS-E1C2,0.1,0.4,0.3,0.2,0.003484321,0.404406993,B
bDS-E1C3,0.2,0.4,0.3,0.1,0.007575758,0.464621761,A
bDS-E1C4,0.3,0.4,0.3,0,0.018867925,0.555759164,A
bDS-E1C5,0,0.5,0.3,0.2,0.005376344,0.436251435,B
bDS-E1C6,0.1,0.5,0.3,0.1,0.007692308,0.465955425,A
bDS-E1C7,0.2,0.5,0.3,0,0.021276596,0.56951667,A
bDS-E1C8,0,0.6,0.3,0.1,0.009433962,0.484388641,A
bDS-E1C9,0.1,0.6,0.3,0,0.02173913,0.572020849,A
bDS-E1CA,0,0.7,0.3,0,0.018867925,0.555759164,A
bDS-E1CB,0,0,0.4,0.6,0,0,B
bDS-E1CC,0.1,0,0.4,0.5,0.000831255,0.324268851,B
bDS-E1CD,0.2,0,0.4,0.4,0.001727116,0.360995805,B
bDS-E1CE,0.3,0,0.4,0.3,0.003787879,0.410214242,B
bDS-E1CF,0.4,0,0.4,0.2,0.007246377,0.460773921,A
bDS-E1D0,0.5,0,0.4,0.1,0.010638298,0.495777626,A
bDS-E1D1,0.6,0,0.4,0,0.006944444,0.457138527,A
bDS-E1D2,0,0.1,0.4,0.5,0.000434783,0.297299452,B
bDS-E1D3,0.1,0.1,0.4,0.4,0.000537346,0.30561658,B
bDS-E1D4,0.2,0.1,0.4,0.3,0.001204819,0.341964601,B
bDS-E1D5,0.3,0.1,0.4,0.2,0.003215434,0.398961896,B
bDS-E1D6,0.4,0.1,0.4,0.1,0.005208333,0.433773356,B
bDS-E1D7,0.5,0.1,0.4,0,0.008196721,0.471570449,A
bDS-E1D8,0,0.2,0.4,0.4,0.001012146,0.333429968,B
bDS-E1D9,0.1,0.2,0.4,0.3,0.001574803,0.355927655,B
bDS-E1DA,0.2,0.2,0.4,0.2,0.002824859,0.390457014,B
bDS-E1DB,0.3,0.2,0.4,0.1,0.004255319,0.418556084,B
bDS-E1DC,0.4,0.2,0.4,0,0.011363636,0.502203146,A
bDS-E1DD,0,0.3,0.4,0.3,0.001788909,0.362961616,B
bDS-E1DE,0.1,0.3,0.4,0.2,0.003067485,0.395829653,B
bDS-E1DF,0.2,0.3,0.4,0.1,0.005208333,0.433773356,B
bDS-E1E0,0.3,0.3,0.4,0,0.01369863,0.521083537,A
bDS-E1E1,0,0.4,0.4,0.2,0.005235602,0.434179277,B
bDS-E1E2,0.1,0.4,0.4,0.1,0.00617284,0.447321528,B
bDS-E1E3,0.2,0.4,0.4,0,0.038461538,0.642548604,A
bDS-E1E4,0,0.5,0.4,0.1,0.008547009,0.475329514,A
bDS-E1E5,0.1,0.5,0.4,0,0.047619048,0.670528152,A
bDS-E1E6,0,0.6,0.4,0,0.012820513,0.514275604,A
bDS-E1E7,0,0,0.5,0.5,0,0,B
bDS-E1E8,0.1,0,0.5,0.4,0.000803213,0.322721838,B
bDS-E1E9,0.2,0,0.5,0.3,0.001872659,0.365550666,B
bDS-E1EA,0.3,0,0.5,0.2,0.007246377,0.460773921,A
bDS-E1EB,0.4,0,0.5,0.1,0.008264463,0.47230603,A
bDS-E1EC,0.5,0,0.5,0,0.028571429,0.604882912,A
bDS-E1ED,0,0.1,0.5,0.4,0.000490196,0.301954808,B
bDS-E1EE,0.1,0.1,0.5,0.3,0.00088968,0.327373707,B
bDS-E1EF,0.2,0.1,0.5,0.2,0.00128866,0.345372734,B
bDS-E1F0,0.3,0.1,0.5,0.1,0.003344482,0.401613123,B
bDS-E1F1,0.4,0.1,0.5,0,0.012345679,0.510453737,A
bDS-E1F2,0,0.2,0.5,0.3,0.002217295,0.375417522,B
bDS-E1F3,0.1,0.2,0.5,0.2,0.004115226,0.416125613,B
bDS-E1F4,0.2,0.2,0.5,0.1,0.004651163,0.425137077,B
bDS-E1F5,0.3,0.2,0.5,0,0.011494253,0.503329085,A
bDS-E1F6,0,0.3,0.5,0.2,0.006493506,0.451499098,B
bDS-E1F7,0.1,0.3,0.5,0.1,0.007751938,0.466632335,A
bDS-E1F8,0.2,0.3,0.5,0,0.038461538,0.642548604,A
bDS-E1F9,0,0.4,0.5,0.1,0.008547009,0.475329514,A
bDS-E1FA,0.1,0.4,0.5,0,0.019230769,0.557913767,A
bDS-E1FB,0,0.5,0.5,0,0.020833333,0.567077308,A
bDS-E1FC,0,0,0.6,0.4,0,0,B
bDS-E1FD,0.1,0,0.6,0.3,0.001149425,0.339618232,B
bDS-E1FE,0.2,0,0.6,0.2,0.005102041,0.432176916,B
bDS-E1FF,0.3,0,0.6,0.1,0.008849558,0.478490624,A
bDS-E1G0,0.4,0,0.6,0,0.029411765,0.608475081,A
bDS-E1G1,0,0.1,0.6,0.3,0.000220751,0.273444005,B
bDS-E1G2,0.1,0.1,0.6,0.2,0.00038432,0.292656673,B
bDS-E1G3,0.2,0.1,0.6,0.1,0.003424658,0.403224678,B
bDS-E1G4,0.3,0.1,0.6,0,0.013157895,0.516929853,A
bDS-E1G5,0,0.2,0.6,0.2,0.004651163,0.425137077,B
bDS-E1G6,0.1,0.2,0.6,0.1,0.005780347,0.441998505,B
bDS-E1G7,0.2,0.2,0.6,0,0.03030303,0.612194252,A
bDS-E1G8,0,0.3,0.6,0.1,0.01010101,0.490815252,A
bDS-E1G9,0.1,0.3,0.6,0,0.037037037,0.637673065,A
bDS-E1GA,0,0.4,0.6,0,0.009803922,0.487991023,A
bDS-E1GB,0,0,0.7,0.3,0,0,B
bDS-E1GC,0.1,0,0.7,0.2,0.004854369,0.428365736,B
bDS-E1GD,0.2,0,0.7,0.1,0.006369427,0.449899937,B
bDS-E1GE,0.3,0,0.7,0,0.025641026,0.591647331,A
bDS-E1GF,0,0.1,0.7,0.2,0.002222222,0.375550487,B
bDS-E1H0,0.1,0.1,0.7,0.1,0.006896552,0.456551855,A
bDS-E1H1,0.2,0.1,0.7,0,0.008474576,0.474561156,A
bDS-E1H2,0,0.2,0.7,0.1,0.01010101,0.490815252,A
bDS-E1H3,0.1,0.2,0.7,0,0.009345794,0.483515538,A
bDS-E1H4,0,0.3,0.7,0,0.010416667,0.493752582,A
bDS-E1H5,0,0,0.8,0.2,0,0,B
bDS-E1H6,0.1,0,0.8,0.1,0.002702703,0.387629413,B
bDS-E1H7,0.2,0,0.8,0,0.029411765,0.608475081,A
bDS-E1H8,0,0.1,0.8,0.1,0.003690037,0.408378903,B
bDS-E1H9,0.1,0.1,0.8,0,0.017857143,0.549588268,A
bDS-E1HA,0,0.2,0.8,0,0.01,0.489861655,A
bDS-E1HB,0,0,0.9,0.1,0,0,B
bDS-E1HC,0.1,0,0.9,0,0.022222222,0.574592874,A
bDS-E1HD,0,0.1,0.9,0,0.005154639,0.432969752,B
bDS-E1HE,0,0,1,0,0,0,B
